,Boston(Massachusetts),Rockville(Maryland),Newport(Rhode Island),Chelsea(Massachusetts),Baltimore(Maryland),Erie(Pennsylvania),Worcester(Massachusetts),New Bedford(Massachusetts),Philadelphia(Pennsylvania),Albany(New York),Tonawanda(New York),Binghamton(New York),Dover(Delaware),Buffalo(New York),Keene(New Hampshire),Utica(New York),Atlantic City(New Jersey),Concord(New Hampshire),Portsmouth(New Hampshire),Pittsburgh(Pennsylvania),Burlington(Vermont),Johnstown(Pennsylvania),Hagerstown(Maryland),Mount Vernon(New York),Winooski(Vermont),Bangor(Maine),Cambridge(Massachusetts),Providence(Rhode Island),Trenton(New Jersey),Annapolis(Maryland),Stamford(Connecticut),Paterson(New Jersey),Portland(Maine),Woodbridge(New Jersey),Brockton(Massachusetts),Salisbury(Maryland),Sanford(Maine),Westbrook(Maine),Pittsfield(Massachusetts),Montpelier(Vermont),Hamilton(New Jersey),Bridgeport(Connecticut),Virginia Beach(Virginia),New Rochelle(New York),Syracuse(New York),Lancaster(Pennsylvania),Cumberland(Maryland),Warwick(Rhode Island),Augusta(Maine),Troy(New York),York(Pennsylvania),Springfield(Massachusetts),New Haven(Connecticut),Biddeford(Maine),Auburn(Maine),Silver Spring(Maryland),Gaithersburg(Maryland),Allentown(Pennsylvania),Laconia(New Hampshire),Rutland(Vermont),New York City(New York),Wilmington-D(Delaware),Scranton(Pennsylvania),Washington(DC),Quincy(Massachusetts),Seaford(Delaware),Harrisburg(Pennsylvania),Reading(Pennsylvania),Fall River(Massachusetts),Newark(New Jersey),Nashua(New Hampshire),Hartford(Connecticut),Lewiston(Maine),Jersey City(New Jersey),Rochester(New Hampshire),Manchester(New Hampshire),Yonkers(New York),Middletown(New Jersey),Lebanon(New Hampshire),Columbia(Maryland)
Tonawanda(New York),746.0,735.7,805.7,754.2,754.2,171.7,691.0,792.0,633.0,466.0,0.0,338.0,766.0,19.7,752.0,319.0,733.0,785.0,840.2,377.7,720.0,454.7,657.7,626.0,720.0,1124.0,747.0,756.0,649.0,803.7,663.7,610.0,917.0,660.0,773.0,861.5,861.0,916.0,531.0,716.0,663.3,703.2,1000000000.0,629.0,242.0,646.0,548.7,773.6,1004.0,472.0,669.2,623.0,732.7,891.2,965.5,754.7,727.7,555.0,778.0,607.0,644.0,684.0,433.0,767.10004,766.0,825.0,629.0,592.0,771.0,635.3,774.0,669.7,962.0,651.8,837.0,803.0,621.0,693.0,688.0,758.7
Binghamton(New York),506.0,479.2,555.7,514.2,416.2,426.0,451.0,552.0,295.0,226.0,338.0,0.0,428.0,320.0,512.0,160.0,395.0,545.0,600.2,572.0,480.0,470.0,413.0,288.0,480.0,884.0,507.0,516.0,311.0,468.2,325.7,272.0,677.0,322.0,533.0,523.5,621.0,676.0,291.0,476.0,325.3,365.2,1000000000.0,291.0,119.0,308.0,522.0,533.6,764.0,232.0,331.2,383.0,394.7,651.2,725.5,469.2,487.2,217.0,538.0,367.0,306.0,346.0,95.0,481.59998,526.0,487.0,291.0,254.0,531.0,297.3,534.0,429.7,722.0,313.8,597.0,563.0,283.0,355.0,448.0,450.1
Dover(Delaware),658.1,247.0,594.1,666.3,201.0,778.0,591.1,654.19995,133.0,557.4,766.0,428.0,0.0,748.0,661.8,588.0,211.0,733.1,752.3,600.0,816.4,517.0,320.0,330.19998,816.4,1051.3,663.1,606.1,188.0,175.0,364.09998,288.0,849.39996,248.0,675.1,96.5,800.1,847.5,622.4,812.4,202.3,403.59998,1000000000.0,329.4,547.0,261.0,429.0,593.1,938.39996,568.4,286.0,532.8,433.09998,811.3,891.3,230.0,256.0,233.0,775.1,703.4,294.3,82.0,333.0,242.4,674.1,60.0,303.0,235.0,628.8,275.0,674.1,486.09998,893.3,281.8,772.1,706.89996,327.4,282.0,760.8,227.0
Buffalo(New York),748.0,716.0,807.7,756.2,736.2,152.0,693.0,794.0,615.0,468.0,19.7,320.0,748.0,0.0,754.0,323.0,715.0,789.0,842.2,358.0,724.0,435.0,638.0,608.0,724.0,1128.0,749.0,758.0,631.0,784.0,645.7,592.0,921.0,642.0,775.0,843.5,865.0,920.0,533.0,720.0,645.3,685.2,1000000000.0,611.0,246.0,628.0,529.0,775.6,1008.0,476.0,651.2,625.0,714.7,895.2,969.5,735.0,708.0,537.0,782.0,611.0,626.0,666.0,415.0,747.4,768.0,807.0,611.0,574.0,773.0,617.3,776.0,671.7,966.0,633.8,841.0,807.0,603.0,675.0,692.0,739.0
Keene(New Hampshire),159.8,761.8,276.5,155.0,698.8,906.0,165.0,248.0,528.8,286.0,752.0,512.0,661.8,754.0,0.0,441.0,577.0,87.0,162.0,983.5,264.0,875.5,783.5,337.5,259.0,435.0,149.0,230.0,473.8,750.8,297.7,384.49997,228.0,413.8,199.0,757.3,172.0,227.0,221.0,195.0,470.0,264.7,1000000000.0,332.4,522.0,636.5,892.5,247.6,315.0,300.8,673.5,129.0,238.7,202.2,276.5,751.8,769.8,528.5,129.0,180.0,367.5,579.8,561.5,764.2,177.4,720.8,661.5,584.5,241.8,396.5,82.0,175.7,273.0,380.0,144.0,90.0,345.09998,449.0,99.0,732.7
Utica(New York),435.0,639.2,494.7,443.2,576.2,475.0,380.0,481.0,455.0,155.0,319.0,160.0,588.0,323.0,441.0,0.0,555.0,474.0,529.2,681.0,409.0,630.0,573.0,359.7,409.0,813.0,436.0,445.0,471.0,628.2,399.4,391.4,606.0,432.5,462.0,683.5,550.0,605.0,220.0,405.0,485.3,438.9,1000000000.0,364.7,89.0,468.0,682.0,462.6,693.0,161.0,491.2,312.0,421.7,580.2,654.5,629.2,647.2,377.0,467.0,296.0,386.2,506.0,255.0,641.6,455.0,647.0,451.0,414.0,460.0,415.2,463.0,358.7,651.0,398.7,526.0,492.0,352.0,467.7,377.0,610.1
Atlantic City(New Jersey),573.3,311.0,509.3,581.5,248.0,745.0,506.3,569.4,100.0,473.7,733.0,395.0,211.0,715.0,577.0,555.0,0.0,648.3,667.5,591.0,732.5,484.0,367.0,245.4,732.5,966.5,578.3,521.3,125.0,300.0,279.3,211.0,764.6,165.0,590.3,306.5,715.3,762.7,538.7,728.5,139.3,318.8,1000000000.0,244.6,514.0,228.0,476.0,508.3,853.6,484.5,264.0,448.0,348.3,726.5,806.5,301.0,319.0,200.0,690.3,619.5,209.5,129.0,300.0,313.4,589.3,270.0,270.0,202.0,544.0,190.0,589.3,401.3,808.5,197.0,687.3,622.1,243.7,141.0,676.0,281.9
Concord(New Hampshire),136.8,833.1,253.5,132.0,770.1,941.0,142.0,225.0,600.1,327.8,785.0,545.0,733.1,789.0,87.0,474.0,648.3,0.0,75.0,1054.8,262.0,946.8,854.8,408.8,257.0,348.0,126.0,207.0,545.1,822.1,369.0,455.8,141.0,485.09998,176.0,828.6,85.0,140.0,302.0,193.0,541.3,336.0,1000000000.0,403.7,555.0,707.8,963.8,224.6,228.0,313.0,744.8,216.0,310.0,115.2,189.5,823.1,841.1,599.8,43.7,178.0,438.8,651.1,632.8,835.5,154.4,792.1,732.8,655.8,218.8,467.8,59.0,247.0,186.0,451.3,57.0,27.5,416.4,520.3,97.0,804.0
Portsmouth(New Hampshire),94.2,852.3,210.9,86.0,789.3,994.2,161.2,186.0,619.3,374.2,840.2,600.2,752.3,842.2,162.0,529.2,667.5,75.0,0.0,1074.0,337.0,966.0,874.0,428.0,332.0,299.0,94.5,177.5,564.3,841.3,388.2,475.0,97.1,504.3,130.9,847.8,47.8,95.2,309.2,268.0,560.5,355.2,1000000000.0,422.90002,610.2,727.0,983.0,195.1,186.1,388.0,764.0,233.5,329.2,59.0,139.0,842.3,860.3,619.0,92.0,253.0,458.0,670.3,652.0,854.7,109.5,811.3,752.0,675.0,176.2,487.0,103.0,266.2,141.0,470.5,35.1,74.0,435.6,539.5,172.0,823.2
Pittsburgh(Pennsylvania),979.8,358.0,915.8,988.0,399.0,206.0,912.8,975.9,491.0,798.0,377.7,572.0,600.0,358.0,983.5,681.0,591.0,1054.8,1074.0,0.0,1052.0,108.0,280.0,648.10004,1052.0,1373.0,984.8,927.8,546.0,426.0,685.8,601.0,1171.1,606.0,996.8,554.0,1121.8,1169.2,863.0,1048.0,560.3,725.3,1000000000.0,651.1,604.0,383.0,171.0,914.8,1260.1,804.0,356.0,854.5,754.8,1133.0,1213.0,377.0,350.0,455.0,1096.8,939.0,616.0,518.0,477.0,389.4,995.8,541.0,327.0,418.0,950.5,587.0,995.8,807.8,1215.0,603.5,1093.8,1028.6,640.4,640.0,1020.0,381.0
