,Boston(Massachusetts),Rockville(Maryland),Newport(Rhode Island),Chelsea(Massachusetts),Baltimore(Maryland),Erie(Pennsylvania),Worcester(Massachusetts),New Bedford(Massachusetts),Philadelphia(Pennsylvania),Albany(New York),Tonawanda(New York),Binghamton(New York),Dover(Delaware),Buffalo(New York),Keene(New Hampshire),Utica(New York),Atlantic City(New Jersey),Concord(New Hampshire),Portsmouth(New Hampshire),Pittsburgh(Pennsylvania),Burlington(Vermont),Johnstown(Pennsylvania),Hagerstown(Maryland),Mount Vernon(New York),Winooski(Vermont),Bangor(Maine),Cambridge(Massachusetts),Providence(Rhode Island),Trenton(New Jersey),Annapolis(Maryland),Stamford(Connecticut),Paterson(New Jersey),Portland(Maine),Woodbridge(New Jersey),Brockton(Massachusetts),Salisbury(Maryland),Sanford(Maine),Westbrook(Maine),Pittsfield(Massachusetts),Montpelier(Vermont),Hamilton(New Jersey),Bridgeport(Connecticut),Virginia Beach(Virginia),New Rochelle(New York),Syracuse(New York),Lancaster(Pennsylvania),Cumberland(Maryland),Warwick(Rhode Island),Augusta(Maine),Troy(New York),York(Pennsylvania),Springfield(Massachusetts),New Haven(Connecticut),Biddeford(Maine),Auburn(Maine),Silver Spring(Maryland),Gaithersburg(Maryland),Allentown(Pennsylvania),Laconia(New Hampshire),Rutland(Vermont),New York City(New York),Wilmington-D(Delaware),Scranton(Pennsylvania),Washington(DC),Quincy(Massachusetts),Seaford(Delaware),Harrisburg(Pennsylvania),Reading(Pennsylvania),Fall River(Massachusetts),Newark(New Jersey),Nashua(New Hampshire),Hartford(Connecticut),Lewiston(Maine),Jersey City(New Jersey),Rochester(New Hampshire),Manchester(New Hampshire),Yonkers(New York),Middletown(New Jersey),Lebanon(New Hampshire),Columbia(Maryland)
Stamford(Connecticut),294.0,464.09998,230.0,302.2,401.09998,751.7,227.0,290.1,231.1,277.4,663.7,325.7,364.09998,645.7,297.7,399.4,279.3,369.0,388.2,685.8,497.7,577.8,485.8,39.8,497.7,687.2,299.0,242.0,176.1,453.09998,0.0,86.8,485.30002,116.100006,311.0,459.59998,436.0,483.40002,260.7,492.7,172.3,39.5,1000000000.0,34.7,444.7,338.8,594.8,229.0,574.30005,276.7,375.8,168.7,69.0,447.2,527.2,454.09998,472.09998,230.8,411.0,384.7,69.8,282.1,263.8,466.5,310.0,423.09998,363.8,286.8,264.7,98.8,310.0,122.0,529.2,82.3,408.0,342.8,47.4,151.3,396.7,435.0
Paterson(New Jersey),380.8,388.0,316.8,388.99997,325.0,695.0,313.8,376.89996,155.0,269.4,610.0,272.0,288.0,592.0,384.49997,391.4,211.0,455.8,475.0,601.0,528.4,493.0,401.0,47.100002,528.4,774.0,385.8,328.8,100.0,377.0,86.8,0.0,572.10004,50.0,397.8,383.5,522.8,570.2001,334.4,524.4,106.0,126.299995,1000000000.0,52.100002,391.0,254.0,510.0,315.8,661.10004,280.4,291.0,255.5,155.79999,534.0,614.0,378.0,396.0,146.0,497.8,415.4,36.3,206.0,177.0,390.4,396.8,347.0,279.0,202.0,351.49997,25.3,396.8,208.79999,616.0,41.8,494.8,429.6,39.4,83.0,483.5,358.9
Portland(Maine),191.29999,949.39996,308.0,183.1,886.39996,1073.0,258.3,283.1,716.39996,459.8,917.0,677.0,849.39996,921.0,228.0,606.0,764.6,141.0,97.1,1171.1,394.0,1063.1,971.1,525.10004,389.0,208.0,191.6,274.6,661.39996,938.39996,485.30002,572.10004,0.0,601.39996,228.0,944.89996,56.0,12.1,406.30002,325.0,657.6,452.30002,1000000000.0,520.0,687.0,824.1,1080.1,292.2,89.0,445.0,861.1,330.6,426.30002,38.1,54.0,939.39996,957.39996,716.1,139.0,310.0,555.1,767.39996,749.1,951.8,206.6,908.39996,849.1,772.1,273.3,584.1,200.0,363.30002,57.5,567.6,132.2,168.5,532.7,636.6,229.0,920.3
Woodbridge(New Jersey),410.09998,348.0,346.09998,418.3,285.0,745.0,343.09998,406.19998,115.0,310.5,660.0,322.0,248.0,642.0,413.8,432.5,165.0,485.09998,504.3,606.0,569.3,499.0,404.0,82.2,569.3,803.3,415.09998,358.09998,60.0,337.0,116.100006,50.0,601.39996,0.0,427.09998,343.5,552.1,599.5,375.5,565.3,60.0,155.59999,1000000000.0,81.399994,441.0,243.0,513.0,345.09998,690.39996,321.3,279.0,284.8,185.09999,563.3,643.3,338.0,356.0,154.0,527.1,456.3,46.3,166.0,227.0,350.4,426.09998,307.0,285.0,210.0,380.8,27.0,426.09998,238.09999,645.3,33.8,524.1,458.89996,80.5,37.5,512.8,318.9
Brockton(Massachusetts),39.2,775.1,85.7,44.9,712.1,927.0,99.0,60.0,542.1,307.0,773.0,533.0,675.1,775.0,199.0,462.0,590.3,176.0,130.9,996.8,428.0,888.8,796.8,350.8,423.0,429.9,50.0,69.0,487.09998,764.1,311.0,397.8,228.0,427.09998,0.0,770.6,178.7,226.09999,242.0,359.0,483.3,278.0,1000000000.0,345.7,543.0,649.8,905.8,86.6,317.0,321.8,686.8,166.0,246.6,189.9,269.9,765.1,783.1,541.8,218.0,344.0,380.8,593.1,574.8,777.5,25.6,734.1,674.8,597.8,51.0,409.8,117.0,189.0,271.9,393.3,166.0,149.8,358.4,462.3,263.0,746.0
Salisbury(Maryland),753.6,209.0,689.6,761.8,179.0,760.0,686.6,749.69995,228.5,652.9,861.5,523.5,96.5,843.5,757.3,683.5,306.5,828.6,847.8,554.0,911.9,490.0,280.0,425.69998,911.9,1146.8,758.6,701.6,283.5,143.0,459.59998,383.5,944.89996,343.5,770.6,0.0,895.6,943.0,717.9,907.9,297.8,499.09998,1000000000.0,424.9,642.5,306.1,383.0,688.6,1033.8999,663.9,264.0,628.3,528.6,906.8,986.8,192.0,218.0,328.5,870.6,798.9,389.8,177.5,428.5,204.4,769.6,36.5,304.2,330.5,724.3,370.5,769.6,581.6,988.8,377.3,867.6,802.39996,422.9,377.5,856.3,189.0
Sanford(Maine),142.0,900.1,258.7,133.8,837.1,1017.0,209.0,233.8,667.1,403.8,861.0,621.0,800.1,865.0,172.0,550.0,715.3,85.0,47.8,1121.8,338.0,1013.8,921.8,475.8,333.0,263.0,142.3,225.3,612.1,889.1,436.0,522.8,56.0,552.1,178.7,895.6,0.0,55.0,357.0,269.0,608.3,403.0,1000000000.0,470.7,631.0,774.8,1030.8,242.9,143.0,389.0,811.8,281.3,377.0,30.2,104.5,890.1,908.1,666.8,83.0,254.0,505.8,718.1,699.8,902.5,157.3,859.1,799.8,722.8,224.0,534.8,144.0,314.0,101.0,518.3,82.899994,112.5,483.4,587.3,173.0,871.0
Westbrook(Maine),189.4,947.5,306.1,181.2,884.5,1072.0,256.4,281.2,714.5,458.8,916.0,676.0,847.5,920.0,227.0,605.0,762.7,140.0,95.2,1169.2,393.0,1061.2,969.2,523.2,388.0,214.0,189.7,272.7,659.5,936.5,483.40002,570.2001,12.1,599.5,226.09999,943.0,55.0,0.0,404.40002,324.0,655.7,450.40002,1000000000.0,518.10004,686.0,822.2,1078.2,290.3,98.0,444.0,859.2,328.7,424.40002,36.2,54.0,937.5,955.5,714.2,138.0,309.0,553.2,765.5,747.2001,949.9,204.7,906.5,847.2,770.2,271.4,582.2,198.2,361.40002,55.0,565.7,130.3,167.5,530.80005,634.7,228.0,918.4
Pittsfield(Massachusetts),215.0,722.4,274.7,223.2,659.4,685.0,160.0,261.0,489.4,65.0,531.0,291.0,622.4,533.0,221.0,220.0,538.7,302.0,309.2,863.0,256.0,761.0,704.0,300.5,256.0,608.2,216.0,225.0,434.4,711.4,260.7,334.4,406.30002,375.5,242.0,717.9,357.0,404.40002,0.0,252.0,431.7,227.7,1000000000.0,295.4,301.0,588.4,813.0,242.6,495.30002,79.8,622.2,92.0,201.7,368.2,448.2,712.4,730.4,480.4,314.0,143.0,329.2,540.4,386.0,724.8,235.0,681.4,582.0,536.4,240.0,358.2,243.0,138.7,450.2,341.7,341.0,275.8,295.0,410.7,224.0,693.3
Montpelier(Vermont),319.8,912.4,436.5,315.0,849.4,872.0,325.0,408.0,679.4,258.8,716.0,476.0,812.4,720.0,195.0,405.0,728.5,193.0,268.0,1048.0,69.0,946.0,889.0,489.0,64.0,532.0,309.0,390.0,624.4,901.4,492.7,524.4,325.0,565.3,359.0,907.9,269.0,324.0,252.0,0.0,621.5,459.7,1000000000.0,486.0,486.0,778.4,998.0,407.6,412.0,244.0,807.2,324.0,433.7,299.2,373.5,902.4,920.4,670.4,186.0,109.0,519.0,730.4,571.0,914.8,337.4,871.4,767.0,726.4,401.8,548.0,242.0,370.7,370.0,531.5,245.0,211.0,485.0,600.5,96.0,883.3
Hamilton(New Jersey),466.3,302.3,402.3,474.5,239.3,706.3,399.3,462.4,69.3,366.7,663.3,325.3,202.3,645.3,470.0,485.3,139.3,541.3,560.5,560.3,625.5,453.3,358.3,138.4,625.5,859.5,471.3,414.3,14.3,291.3,172.3,106.0,657.6,60.0,483.3,297.8,608.3,655.7,431.7,621.5,0.0,211.79999,1000000000.0,137.6,444.3,197.3,467.3,401.3,746.6,377.5,233.3,341.0,241.29999,619.5,699.5,292.3,310.3,108.3,583.3,512.5,102.5,120.3,230.3,304.7,482.3,261.3,239.3,164.3,437.0,82.0,482.3,294.3,701.5,90.0,580.3,515.1,136.7,84.0,569.0,273.2
Bridgeport(Connecticut),261.0,503.59998,196.2,269.2,440.59998,791.2,194.0,256.3,270.6,292.7,703.2,365.2,403.59998,685.2,264.7,438.9,318.8,336.0,355.2,725.3,464.7,617.3,525.3,79.299995,464.7,654.2,266.0,209.0,215.6,492.59998,39.5,126.299995,452.30002,155.59999,278.0,499.09998,403.0,450.40002,227.7,459.7,211.79999,0.0,1000000000.0,74.2,484.2,378.3,634.3,195.2,541.30005,307.5,415.3,135.7,35.2,414.2,494.2,493.59998,511.59998,270.3,378.0,351.7,109.299995,321.6,303.3,506.0,277.0,462.59998,403.3,326.3,230.9,138.29999,277.0,89.0,496.2,121.799995,375.0,309.8,86.899994,190.79999,363.7,474.5
Virginia Beach(Virginia),1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
New Rochelle(New York),328.7,429.4,264.7,336.9,366.4,717.0,261.7,324.8,196.4,242.7,629.0,291.0,329.4,611.0,332.4,364.7,244.6,403.7,422.90002,651.1,490.0,543.1,451.1,5.1,490.0,721.9,333.7,276.7,141.4,418.4,34.7,52.100002,520.0,81.399994,345.7,424.9,470.7,518.10004,295.4,486.0,137.6,74.2,1000000000.0,0.0,410.0,304.1,560.1,263.7,609.0,242.0,341.1,203.4,103.7,481.90002,561.9,419.4,437.4,196.1,445.7,377.0,35.1,247.4,229.09999,431.80002,344.7,388.4,329.1,252.1,299.4,64.1,344.7,156.7,563.9,47.6,442.7,377.5,12.7,116.6,431.40002,400.30002
Syracuse(New York),516.0,598.2,575.7,524.2,535.2,398.0,461.0,562.0,414.0,236.0,242.0,119.0,547.0,246.0,522.0,89.0,514.0,555.0,610.2,604.0,490.0,589.0,532.0,405.7,490.0,894.0,517.0,526.0,430.0,587.2,444.7,391.0,687.0,441.0,543.0,642.5,631.0,686.0,301.0,486.0,444.3,484.2,1000000000.0,410.0,0.0,427.0,641.0,543.6,774.0,242.0,450.2,393.0,502.7,661.2,735.5,588.2,606.2,336.0,548.0,377.0,421.0,465.0,214.0,600.6,536.0,606.0,410.0,373.0,541.0,416.3,544.0,439.7,732.0,432.8,607.0,573.0,398.0,474.0,458.0,569.1
Lancaster(Pennsylvania),632.8,190.1,568.8,641.0,127.1,539.0,565.8,628.9,128.0,523.4,646.0,308.0,261.0,628.0,636.5,468.0,228.0,707.8,727.0,383.0,782.4,277.0,184.0,301.1,782.4,1026.0,637.8,580.8,183.0,179.1,338.8,254.0,824.1,243.0,649.8,306.1,774.8,822.2,588.4,778.4,197.3,378.3,1000000000.0,304.1,427.0,0.0,293.0,567.8,913.1,534.4,42.1,507.5,407.8,786.0,866.0,180.1,198.1,108.0,749.8,669.4,269.0,179.0,213.0,192.5,648.8,294.1,62.0,55.0,603.5,240.0,648.8,460.8,868.0,256.5,746.8,681.6,293.4,277.0,735.5,161.0
Cumberland(Maryland),888.8,187.0,824.8,897.0,228.0,377.0,821.8,884.9,398.0,748.0,548.7,522.0,429.0,529.0,892.5,682.0,476.0,963.8,983.0,171.0,1002.0,107.0,109.0,557.10004,1002.0,1282.0,893.8,836.8,453.0,255.0,594.8,510.0,1080.1,513.0,905.8,383.0,1030.8,1078.2,813.0,998.0,467.3,634.3,1000000000.0,560.1,641.0,293.0,0.0,823.8,1169.1,754.0,271.2,763.5,663.8,1042.0,1122.0,206.0,179.0,364.0,1005.8,889.0,525.0,347.0,427.0,218.4,904.8,370.0,231.0,333.0,859.5,496.0,904.8,716.8,1124.0,512.5,1002.8,937.6,549.4,547.0,970.0,210.0
Warwick(Rhode Island),106.6,693.1,50.0,109.1,630.1,927.6,82.6,72.8,460.09998,307.6,773.6,533.6,593.1,775.6,247.6,462.6,508.3,224.6,195.1,914.8,476.6,806.8,714.8,268.8,471.6,494.1,114.0,17.6,405.09998,682.1,229.0,315.8,292.2,345.09998,86.6,688.6,242.9,290.3,242.6,407.6,401.3,195.2,1000000000.0,263.7,543.6,567.8,823.8,0.0,381.2,322.40002,604.8,165.6,160.0,254.1,334.1,683.1,701.1,459.8,266.6,381.6,298.8,511.09998,492.8,695.5,85.6,652.1,592.8,515.8,47.4,327.8,165.6,137.6,336.1,311.3,230.20001,198.40001,276.4,380.3,311.6,664.0
Augusta(Maine),280.3,1038.3999,397.0,272.1,975.39996,1160.0,347.3,372.1,805.39996,546.8,1004.0,764.0,938.39996,1008.0,315.0,693.0,853.6,228.0,186.1,1260.1,481.0,1152.1,1060.1,614.10004,476.0,123.0,280.6,363.6,750.39996,1027.3999,574.30005,661.10004,89.0,690.39996,317.0,1033.8999,143.0,98.0,495.30002,412.0,746.6,541.30005,1000000000.0,609.0,774.0,913.1,1169.1,381.2,0.0,532.0,950.1,419.6,515.30005,127.1,57.5,1028.3999,1046.3999,805.1,226.0,397.0,644.1,856.39996,838.1,1040.8,295.6,997.39996,938.1,861.1,362.3,673.1,287.0,452.30002,54.0,656.6,221.2,255.5,621.7,725.6,316.0,1009.3
Troy(New York),294.8,668.4,354.5,303.0,605.4,628.0,239.8,340.8,435.4,14.8,472.0,232.0,568.4,476.0,300.8,161.0,484.5,313.0,388.0,804.0,248.0,702.0,645.0,245.0,248.0,652.0,295.8,304.8,380.4,657.4,276.7,280.4,445.0,321.3,321.8,663.9,389.0,444.0,79.8,244.0,377.5,307.5,1000000000.0,242.0,242.0,534.4,754.0,322.40002,532.0,0.0,563.2,171.8,281.5,419.2,493.5,658.4,676.4,426.4,306.0,135.0,275.0,486.4,327.0,670.8,314.8,627.4,523.0,482.4,319.8,304.0,322.8,218.5,490.0,287.5,365.0,331.0,241.0,356.5,216.0,639.3
York(Pennsylvania),669.8,148.0,605.8,678.0,85.0,518.2,602.8,665.9,164.0,557.2,669.2,331.2,286.0,651.2,673.5,491.2,264.0,744.8,764.0,356.0,811.2,250.0,162.2,338.1,811.2,1063.0,674.8,617.8,219.0,137.0,375.8,291.0,861.1,279.0,686.8,264.0,811.8,859.2,622.2,807.2,233.3,415.3,1000000000.0,341.1,450.2,42.1,271.2,604.8,950.1,563.2,0.0,544.5,444.8,823.0,903.0,138.0,156.0,145.0,786.8,698.2,306.0,204.0,236.2,150.4,685.8,252.0,40.2,92.0,640.5,277.0,685.8,497.8,905.0,293.5,783.8,718.6,330.4,313.0,772.5,118.9
Springfield(Massachusetts),142.0,632.8,194.7,147.5,569.8,777.0,83.0,182.0,399.8,157.0,623.0,383.0,532.8,625.0,129.0,312.0,448.0,216.0,233.5,854.5,329.0,746.5,654.5,208.5,329.0,532.5,139.0,148.0,344.8,621.8,168.7,255.5,330.6,284.8,166.0,628.3,281.3,328.7,92.0,324.0,341.0,135.7,1000000000.0,203.4,393.0,507.5,763.5,165.6,419.6,171.8,544.5,0.0,109.7,292.5,372.5,622.8,640.8,399.5,258.0,216.0,238.49998,450.8,432.5,635.2,158.0,591.8,532.5,455.5,160.0,267.5,166.0,46.7,374.5,250.99998,264.0,198.8,216.09999,320.0,228.0,603.7
New Haven(Connecticut),235.0,533.1,161.0,243.2,470.09998,820.7,168.0,221.09999,300.09998,266.7,732.7,394.7,433.09998,714.7,238.7,421.7,348.3,310.0,329.2,754.8,438.7,646.8,554.8,108.799995,438.7,628.2,240.0,177.6,245.09999,522.1,69.0,155.79999,426.30002,185.09999,246.6,528.6,377.0,424.40002,201.7,433.7,241.29999,35.2,1000000000.0,103.7,502.7,407.8,663.8,160.0,515.30005,281.5,444.8,109.7,0.0,388.2,468.2,523.1,541.1,299.8,352.0,325.7,138.79999,351.09998,332.8,535.5,245.6,492.09998,432.8,355.8,195.7,167.79999,251.0,63.0,470.2,151.29999,349.0,283.8,116.399994,220.29999,337.7,504.0
Biddeford(Maine),153.2,911.3,269.9,145.0,848.3,1047.2,220.2,245.0,678.3,433.2,891.2,651.2,811.3,895.2,202.2,580.2,726.5,115.2,59.0,1133.0,368.2,1025.0,933.0,487.0,363.2,240.0,153.5,236.5,623.3,900.3,447.2,534.0,38.1,563.3,189.9,906.8,30.2,36.2,368.2,299.2,619.5,414.2,1000000000.0,481.90002,661.2,786.0,1042.0,254.1,127.1,419.2,823.0,292.5,388.2,0.0,80.0,901.3,919.3,678.0,113.2,284.2,517.0,729.3,711.0,913.7,168.5,870.3,811.0,734.0,235.2,546.0,162.0,325.2,82.0,529.5,94.1,133.0,494.6,598.5,203.2,882.2
Auburn(Maine),233.2,991.3,349.90002,225.0,928.3,1121.5,300.2,325.0,758.3,508.3,965.5,725.5,891.3,969.5,276.5,654.5,806.5,189.5,139.0,1213.0,442.5,1105.0,1013.0,567.0,437.5,170.5,233.5,316.5,703.3,980.3,527.2,614.0,54.0,643.3,269.9,986.8,104.5,54.0,448.2,373.5,699.5,494.2,1000000000.0,561.9,735.5,866.0,1122.0,334.1,57.5,493.5,903.0,372.5,468.2,80.0,0.0,981.3,999.3,758.0,187.5,358.5,597.0,809.3,791.0,993.7,248.5,950.3,891.0,814.0,315.2,626.0,242.0,405.2,3.5,609.5,174.1,213.0,574.6,678.5,277.5,962.2
Silver Spring(Maryland),748.1,21.9,684.1,756.3,53.0,583.0,681.1,744.19995,223.0,647.4,754.7,469.2,230.0,735.0,751.8,629.2,301.0,823.1,842.3,377.0,906.4,313.0,102.0,420.19998,906.4,1141.3,753.1,696.1,278.0,55.0,454.09998,378.0,939.39996,338.0,765.1,192.0,890.1,937.5,712.4,902.4,292.3,493.59998,1000000000.0,419.4,588.2,180.1,206.0,683.1,1028.3999,658.4,138.0,622.8,523.1,901.3,981.3,0.0,33.5,283.0,865.1,793.4,384.3,172.0,374.2,12.4,764.1,170.0,178.2,230.0,718.8,365.0,764.1,576.1,983.3,371.8,862.1,796.89996,417.4,372.0,850.8,38.9
Gaithersburg(Maryland),766.1,11.6,702.1,774.3,71.0,556.0,699.1,762.19995,241.0,665.4,727.7,487.2,256.0,708.0,769.8,647.2,319.0,841.1,860.3,350.0,924.4,286.0,77.0,438.19998,924.4,1159.3,771.1,714.1,296.0,81.0,472.09998,396.0,957.39996,356.0,783.1,218.0,908.1,955.5,730.4,920.4,310.3,511.59998,1000000000.0,437.4,606.2,198.1,179.0,701.1,1046.3999,676.4,156.0,640.8,541.1,919.3,999.3,33.5,0.0,301.0,883.1,811.4,402.3,190.0,392.2,43.300003,782.1,196.0,196.2,248.0,736.8,383.0,782.1,594.1,1001.3,389.8,880.1,814.89996,435.4,390.0,868.8,48.0
Allentown(Pennsylvania),524.8,293.0,460.8,533.0,230.0,598.0,457.8,520.9,100.0,415.4,555.0,217.0,233.0,537.0,528.5,377.0,200.0,599.8,619.0,455.0,674.4,347.0,255.0,193.09999,674.4,918.0,529.8,472.8,94.0,282.0,230.8,146.0,716.1,154.0,541.8,328.5,666.8,714.2,480.4,670.4,108.3,270.3,1000000000.0,196.1,336.0,108.0,364.0,459.8,805.1,426.4,145.0,399.5,299.8,678.0,758.0,283.0,301.0,0.0,641.8,561.4,161.0,151.0,122.0,295.4,540.8,292.0,133.0,56.0,495.5,132.0,540.8,352.8,760.0,148.5,638.8,573.6,185.4,188.0,627.5,263.9
Laconia(New Hampshire),178.8,875.1,295.5,174.0,812.1,934.0,184.0,267.0,642.1,320.8,778.0,538.0,775.1,782.0,129.0,467.0,690.3,43.7,92.0,1096.8,255.0,988.8,896.8,450.8,250.0,346.0,168.0,249.0,587.1,864.1,411.0,497.8,139.0,527.1,218.0,870.6,83.0,138.0,314.0,186.0,583.3,378.0,1000000000.0,445.7,548.0,749.8,1005.8,266.6,226.0,306.0,786.8,258.0,352.0,113.2,187.5,865.1,883.1,641.8,0.0,171.0,480.8,693.1,633.0,877.5,196.4,834.1,774.8,697.8,260.8,509.8,101.0,289.0,184.0,493.3,59.0,71.0,458.4,562.3,90.0,846.0
Rutland(Vermont),304.8,803.4,410.7,300.0,740.4,763.0,299.0,393.0,570.4,149.8,607.0,367.0,703.4,611.0,180.0,296.0,619.5,178.0,253.0,939.0,113.0,837.0,780.0,380.0,113.0,517.0,294.0,364.0,515.4,792.4,384.7,415.4,310.0,456.3,344.0,798.9,254.0,309.0,143.0,109.0,512.5,351.7,1000000000.0,377.0,377.0,669.4,889.0,381.6,397.0,135.0,698.2,216.0,325.7,284.2,358.5,793.4,811.4,561.4,171.0,0.0,410.0,621.4,462.0,805.8,322.4,762.4,658.0,617.4,376.0,439.0,227.0,262.7,355.0,422.5,230.0,196.0,376.0,491.5,81.0,774.3
New York City(New York),363.8,394.3,299.8,372.0,331.3,731.3,296.8,359.9,161.3,264.2,644.0,306.0,294.3,626.0,367.5,386.2,209.5,438.8,458.0,616.0,523.0,508.0,416.0,35.9,523.0,757.0,368.8,311.8,106.3,383.3,69.8,36.3,555.1,46.3,380.8,389.8,505.8,553.2,329.2,519.0,102.5,109.299995,1000000000.0,35.1,421.0,269.0,525.0,298.8,644.1,275.0,306.0,238.49998,138.79999,517.0,597.0,384.3,402.3,161.0,480.8,410.0,0.0,212.3,213.3,396.7,379.8,353.3,294.0,217.0,334.5,29.0,379.8,191.79999,599.0,12.5,477.8,412.59998,34.2,81.5,466.5,365.2
Wilmington-D(Delaware),576.1,182.0,512.1,584.3,119.0,696.0,509.09998,572.2,51.0,475.4,684.0,346.0,82.0,666.0,579.8,506.0,129.0,651.1,670.3,518.0,734.4,435.0,238.0,248.20001,734.4,969.3,581.1,524.1,106.0,171.0,282.1,206.0,767.39996,166.0,593.1,177.5,718.1,765.5,540.4,730.4,120.3,321.6,1000000000.0,247.4,465.0,179.0,347.0,511.09998,856.39996,486.4,204.0,450.8,351.09998,729.3,809.3,172.0,190.0,151.0,693.1,621.4,212.3,0.0,251.0,184.4,592.1,141.0,221.0,153.0,546.8,193.0,592.1,404.09998,811.3,199.8,690.1,624.89996,245.4,200.0,678.8,152.9
Scranton(Pennsylvania),557.8,384.2,493.8,566.0,321.2,518.0,490.8,553.89996,200.0,321.0,433.0,95.0,333.0,415.0,561.5,255.0,300.0,632.8,652.0,477.0,575.0,375.0,318.0,224.09999,575.0,951.0,562.8,505.8,216.0,373.2,263.8,177.0,749.1,227.0,574.8,428.5,699.8,747.2001,386.0,571.0,230.3,303.3,1000000000.0,229.09999,214.0,213.0,427.0,492.8,838.1,327.0,236.2,432.5,332.8,711.0,791.0,374.2,392.2,122.0,633.0,462.0,213.3,251.0,0.0,386.59998,573.8,392.0,196.0,159.0,528.5,202.3,573.8,385.8,793.0,218.8,671.8,606.6,216.4,260.0,543.0,355.1
Washington(DC),760.5,31.7,696.5,768.7,65.4,595.4,693.5,756.6,235.4,659.8,767.10004,481.59998,242.4,747.4,764.2,641.6,313.4,835.5,854.7,389.4,918.8,325.4,114.4,432.6,918.8,1153.7,765.5,708.5,290.4,67.4,466.5,390.4,951.8,350.4,777.5,204.4,902.5,949.9,724.8,914.8,304.7,506.0,1000000000.0,431.80002,600.6,192.5,218.4,695.5,1040.8,670.8,150.4,635.2,535.5,913.7,993.7,12.4,43.300003,295.4,877.5,805.8,396.7,184.4,386.59998,0.0,776.5,182.4,190.59999,242.4,731.2,377.4,776.5,588.5,995.7,384.2,874.5,809.3,429.8,384.4,863.2,51.300003
Quincy(Massachusetts),21.0,774.1,104.7,23.5,711.1,920.0,88.0,80.0,541.1,300.0,766.0,526.0,674.1,768.0,177.4,455.0,589.3,154.4,109.5,995.8,406.4,887.8,795.8,349.8,401.4,408.5,28.4,68.0,486.09998,763.1,310.0,396.8,206.6,426.09998,25.6,769.6,157.3,204.7,235.0,337.4,482.3,277.0,1000000000.0,344.7,536.0,648.8,904.8,85.6,295.6,314.8,685.8,158.0,245.6,168.5,248.5,764.1,782.1,540.8,196.4,322.4,379.8,592.1,573.8,776.5,0.0,733.1,673.8,596.8,70.0,408.8,95.4,188.0,250.5,392.3,144.6,128.2,357.4,461.3,241.4,745.0
Seaford(Delaware),717.1,187.0,653.1,725.3,167.0,747.0,650.1,713.19995,192.0,616.4,825.0,487.0,60.0,807.0,720.8,647.0,270.0,792.1,811.3,541.0,875.4,477.0,267.0,389.19998,875.4,1110.3,722.1,665.1,247.0,115.0,423.09998,347.0,908.39996,307.0,734.1,36.5,859.1,906.5,681.4,871.4,261.3,462.59998,1000000000.0,388.4,606.0,294.1,370.0,652.1,997.39996,627.4,252.0,591.8,492.09998,870.3,950.3,170.0,196.0,292.0,834.1,762.4,353.3,141.0,392.0,182.4,733.1,0.0,292.2,294.0,687.8,334.0,733.1,545.1,952.3,340.8,831.1,765.89996,386.4,341.0,819.8,167.0
Harrisburg(Pennsylvania),657.8,188.2,593.8,666.0,125.2,478.0,590.8,653.9,170.0,517.0,629.0,291.0,303.0,611.0,661.5,451.0,270.0,732.8,752.0,327.0,771.0,221.0,122.0,326.1,771.0,1051.0,662.8,605.8,225.0,177.2,363.8,279.0,849.1,285.0,674.8,304.2,799.8,847.2,582.0,767.0,239.3,403.3,1000000000.0,329.1,410.0,62.0,231.0,592.8,938.1,523.0,40.2,532.5,432.8,811.0,891.0,178.2,196.2,133.0,774.8,658.0,294.0,221.0,196.0,190.59999,673.8,292.2,0.0,102.0,628.5,265.0,673.8,485.8,893.0,281.5,771.8,706.6,318.4,319.0,739.0,159.1
