,Biddeford(Maine),Sanford(Maine),Pittsfield(Massachusetts),Portsmouth(New Hampshire),Westbrook(Maine),Rutland(Vermont),Brockton(Massachusetts),Laconia(New Hampshire),Winooski(Vermont),Nashua(New Hampshire),New Bedford(Massachusetts),Boston(Massachusetts),Quincy(Massachusetts),Warwick(Rhode Island),Auburn(Maine),Newport(Rhode Island),Augusta(Maine),Lewiston(Maine),Cambridge(Massachusetts),Bridgeport(Connecticut),Lebanon(New Hampshire),Bangor(Maine),Keene(New Hampshire),Manchester(New Hampshire),Buffalo(New York),Chelsea(Massachusetts),Stamford(Connecticut),Concord(New Hampshire),Worcester(Massachusetts),Burlington(Vermont),New Haven(Connecticut),Hartford(Connecticut),Albany(New York),Portland(Maine),Fall River(Massachusetts),New York City(New York),Providence(Rhode Island),Rochester(New Hampshire),Montpelier(Vermont),Springfield(Massachusetts)
Augusta(Maine),127.1,143.0,inf,186.1,98.0,448.1,317.0,226.0,510.0,287.0,372.1,280.3,295.6,381.20000000000005,57.5,397.0,0.0,54.0,280.6,576.4000000000001,316.0,123.0,315.0,255.5,1028.3,272.1,610.2,228.0,347.29999999999995,510.0,541.2,452.29999999999995,560.3,89.0,362.29999999999995,831.3,363.6,221.2,412.0,419.6
Lewiston(Maine),82.0,101.0,inf,141.0,55.0,403.0,271.9,184.0,468.0,244.0,327.0,235.2,250.5,336.1,3.5,351.9,54.0,0.0,235.5,531.3,274.0,167.0,273.0,213.5,983.2,227.0,565.1,186.0,302.2,468.0,496.1,407.2,515.2,57.5,317.2,786.2,318.5,176.1,370.0,374.5
Cambridge(Massachusetts),229.0,211.0,216.0,94.5,189.7,294.0,50.0,168.0,407.0,67.0,99.0,10.8,28.4,114.0,233.5,127.5,280.6,235.5,0.0,309.2,213.0,393.5,149.0,99.8,749.0,8.5,343.0,126.0,72.0,407.0,274.0,177.0,281.0,191.6,92.8,552.0,96.4,129.6,309.0,139.0
Bridgeport(Connecticut),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,195.2,529.3,196.2,576.4000000000001,531.3,309.2,0.0,522.2,689.3,458.2,409.0,1003.9000000000001,304.29999999999995,39.5,435.2,194.0,716.2,35.2,89.0,535.9,487.4,230.89999999999998,806.9,209.0,425.4,618.2,135.7
Lebanon(New Hampshire),203.2,173.0,224.0,172.0,228.0,81.0,263.9,90.0,160.0,146.0,312.0,223.8,241.4,327.0,277.5,340.5,316.0,274.0,213.0,522.2,0.0,436.0,99.0,115.0,757.0,219.0,556.0,97.0,229.0,165.0,487.0,334.0,289.0,229.0,305.8,560.0,294.0,149.0,96.0,228.0
Bangor(Maine),240.0,263.0,inf,299.0,214.0,561.0,429.9,346.0,630.0,402.0,485.0,393.2,408.5,494.1,170.5,509.9,123.0,167.0,393.5,689.3,436.0,0.0,435.0,373.0,1141.2,385.0,723.1,348.0,460.2,601.0,654.1,565.2,673.2,208.0,475.2,944.2,476.5,334.1,532.0,532.5
Keene(New Hampshire),231.0,172.0,221.0,162.0,227.0,180.0,199.9,129.0,259.0,82.0,248.0,159.8,177.4,263.0,276.5,276.5,315.0,273.0,149.0,458.2,99.0,435.0,0.0,90.0,754.0,155.0,492.0,87.0,165.0,264.0,423.0,175.7,286.0,228.0,241.8,557.0,230.0,144.0,195.0,129.0
Manchester(New Hampshire),133.0,112.5,275.8,74.0,167.5,196.0,150.7,71.0,275.0,32.8,198.8,110.6,128.2,213.79999999999998,213.0,227.3,255.5,213.5,99.8,409.0,115.0,373.0,90.0,0.0,808.8,105.8,442.79999999999995,27.5,115.8,280.0,373.79999999999995,220.8,340.8,168.5,192.6,611.8,180.8,69.0,211.0,198.8
Buffalo(New York),inf,inf,533.0,845.0,940.2,676.0,775.0,847.0,789.0,776.0,794.0,748.0,768.0,853.6,981.2,807.7,1028.3,983.2,749.0,1003.9000000000001,757.0,1141.2,754.0,808.8,0.0,756.2,1037.7,835.0,693.0,789.0,968.7,671.7,468.0,939.3,773.0,739.0,758.0,874.0,785.0,625.0
Chelsea(Massachusetts),145.0,133.8,223.2,86.0,181.2,300.0,44.9,174.0,413.0,73.0,100.0,8.2,23.5,109.1,225.0,124.9,272.1,227.0,8.5,304.29999999999995,219.0,385.0,155.0,105.8,756.2,0.0,338.1,132.0,75.2,384.0,269.1,180.2,288.2,183.1,90.2,559.2,91.5,121.1,315.0,147.5
