,Albany(New York),Biddeford(Maine),Manchester(New Hampshire),New York City(New York),Middletown(New Jersey),Baltimore(Maryland),Portsmouth(New Hampshire),Wilmington-D(Delaware),Silver Spring(Maryland),Sanford(Maine),Providence(Rhode Island),Brockton(Massachusetts),Virginia Beach(Virginia),Lewiston(Maine),Newport(Rhode Island),Seaford(Delaware),Bangor(Maine),Winooski(Vermont),Hartford(Connecticut),Cumberland(Maryland),Pittsburgh(Pennsylvania),Concord(New Hampshire),Utica(New York),Tonawanda(New York),Portland(Maine),Johnstown(Pennsylvania),Syracuse(New York),Bridgeport(Connecticut),Montpelier(Vermont),Hamilton(New Jersey),Gaithersburg(Maryland),Washington(DC),Columbia(Maryland),Rochester(New Hampshire),Reading(Pennsylvania),Rutland(Vermont),Mount Vernon(New York),Salisbury(Maryland),Fall River(Massachusetts),Yonkers(New York),Worcester(Massachusetts),Trenton(New Jersey),Erie(Pennsylvania),Springfield(Massachusetts),Stamford(Connecticut),Rockville(Maryland),New Rochelle(New York),Annapolis(Maryland),York(Pennsylvania),Binghamton(New York),Lancaster(Pennsylvania),Buffalo(New York),Keene(New Hampshire),Burlington(Vermont),Quincy(Massachusetts),Augusta(Maine),Auburn(Maine),Laconia(New Hampshire),Allentown(Pennsylvania),Hagerstown(Maryland),Troy(New York),Scranton(Pennsylvania),Pittsfield(Massachusetts),Lebanon(New Hampshire),Warwick(Rhode Island),Westbrook(Maine),Dover(Delaware),Paterson(New Jersey),Newark(New Jersey),Jersey City(New Jersey),Chelsea(Massachusetts),Nashua(New Hampshire),Philadelphia(Pennsylvania),Woodbridge(New Jersey),Boston(Massachusetts),Cambridge(Massachusetts),New Haven(Connecticut),Harrisburg(Pennsylvania),Atlantic City(New Jersey),New Bedford(Massachusetts)
Providence(Rhode Island),0.0,0.8476206,1.0,0.89154136,0.8286164,0.90657896,0.0,0.84016454,0.96666664,0.8488614,0.0,0.9590909,0.9202554,1.0,0.875,0.96753246,0.9590909,0.0,0.8393008,0.8798759,0.91811514,0.0,0.825,0.8627534,0.842556,0.9714286,0.9027778,1.0,0.7191532,0.8405559,0.9245614,0.88860625,0.8699003,0.8924822,1.0,0.8608524,1.0,0.9714286,0.96753246,0.9614035,0.8929648,1.0,0.9576073,0.9714286,0.7304478,0.84451807,0.86277705,0.8553866,0.85097826,0.8921283,0.915625,0.89285713,0.81300145,0.8605285,0.73807377,0.87993896,0.9714286,1.0,0.9222068,0.95357144,0.9456522,0.91766626,0.7902767,0.96753246,0.8502589,0.87738705,1.0,0.9462089,0.96753246,1.0,1.0,0.964375,0.9045666,0.9096704,0.96753246,0.95438594,0.0,0.9286834,0.9619932,0.8488614
Brockton(Massachusetts),0.0,0.8129452,0.9590909,0.8550692,0.79471844,0.86949164,0.0,0.8057942,0.92712116,0.83457714,0.9590909,0.0,0.8826086,0.9590909,0.83920455,0.9279516,1.0,0.0,0.80496573,0.85714287,0.88055587,0.0,0.79125,0.8274589,0.80808777,0.9316883,0.865846,0.9590909,0.6897333,0.8061695,0.8867384,0.85225415,0.83431345,0.8559716,0.9590909,0.8561508,0.9590909,0.9316883,0.9279516,0.9220733,0.8564344,0.9590909,0.9184325,0.9316883,0.7005659,0.8099696,0.8274816,0.82039356,0.8333333,0.8556321,0.87816757,0.85633117,0.7797423,0.8253251,0.70787984,0.84394145,0.9316883,0.9590909,0.8844802,0.9145617,0.9069664,0.88012534,0.7579472,0.9279516,0.8154755,0.8414939,0.9590909,0.9075003,0.9279516,0.9590909,0.9590909,0.9249233,0.8675616,0.8724566,0.9279516,0.91534287,0.0,0.8906918,0.9394841,0.83457714
Virginia Beach(Virginia),0.0,0.8153044,0.9202554,0.8423228,0.76253873,0.8342842,0.0,0.773166,0.8895802,0.78363025,0.9202554,0.8826086,0.0,0.9202554,0.80522346,0.890377,0.8826086,0.0,0.7725289,0.80971056,0.8635768,0.0,0.7592107,0.7939535,0.7753667,0.8939624,0.83078617,0.9202554,0.6618047,0.77352613,0.87351996,0.8395498,0.80053043,0.8213116,0.9202554,0.7922041,0.9202554,0.8939624,0.890377,0.8847368,0.8217557,0.9202554,0.88124335,0.8939624,0.6721986,0.7771723,0.79397523,0.78717417,0.7855844,0.8209859,0.84260887,0.82165664,0.748169,0.80307484,0.6792164,0.8097686,0.8939624,0.9202554,0.84866583,0.87752926,0.8702416,0.84448737,0.858758,0.890377,0.827986,0.8074202,0.9202554,0.8707539,0.890377,0.9202554,0.9202554,0.90708876,0.8324323,0.902551,0.890377,0.87827885,0.0,0.85462594,0.8852795,0.78363025
Lewiston(Maine),0.0,0.8476206,1.0,0.89154136,0.8286164,0.90657896,0.0,0.84016454,0.96666664,0.8488614,1.0,0.9590909,0.9202554,0.0,0.875,0.96753246,0.9590909,0.0,0.8393008,0.8798759,0.91811514,0.0,0.825,0.8627534,0.842556,0.9714286,0.9027778,1.0,0.7191532,0.8405559,0.9245614,0.88860625,0.8699003,0.8924822,1.0,0.8608524,1.0,0.9714286,0.96753246,0.9614035,0.8929648,1.0,0.9576073,0.9714286,0.7304478,0.84451807,0.86277705,0.8553866,0.85097826,0.8921283,0.915625,0.89285713,0.81300145,0.8605285,0.73807377,0.87993896,0.9714286,1.0,0.9222068,0.95357144,0.9456522,0.91766626,0.7902767,0.96753246,0.8502589,0.87738705,1.0,0.9462089,0.96753246,1.0,1.0,0.964375,0.9045666,0.9096704,0.96753246,0.95438594,0.0,0.9286834,0.9619932,0.8488614
Newport(Rhode Island),0.0,0.74166805,0.875,0.78009874,0.72503936,0.7932566,0.0,0.73514396,0.8458333,0.74275374,0.875,0.83920455,0.80522346,0.875,0.0,0.8465909,0.83920455,0.0,0.73438823,0.7698914,0.80335075,0.0,0.721875,0.7549092,0.7372365,0.85,0.8135266,0.875,0.62925905,0.78328377,0.80899125,0.77996796,0.76116276,0.78092194,0.875,0.7532459,0.875,0.85,0.8465909,0.84122807,0.7813442,0.875,0.8379064,0.85,0.63914186,0.7389533,0.7549299,0.7484633,0.74460596,0.78061223,0.80117184,0.78125,0.71137625,0.75296247,0.64581454,0.76994663,0.85,0.875,0.80693096,0.834375,0.8274457,0.80295795,0.69149214,0.8465909,0.74397653,0.76771367,0.875,0.8279328,0.8465909,0.875,0.875,0.84382814,0.79149574,0.7959616,0.8465909,0.8350877,0.0,0.812598,0.84174407,0.74275374
Seaford(Delaware),0.0,0.8673063,0.96753246,0.9122471,0.80365855,0.8771446,0.0,0.8128865,0.93528134,0.86072296,0.96753246,0.9279516,0.890377,0.96753246,0.8465909,0.0,0.9279516,0.0,0.8366593,0.85130847,0.8883062,0.0,0.79821426,0.8347419,0.81520027,0.93988866,0.8734668,0.96753246,0.7164744,0.81326514,0.946034,0.9092438,0.8742857,0.86350554,0.96753246,0.83290267,0.96753246,0.93988866,1.0,0.9301891,0.8639724,0.96753246,0.9265162,0.93988866,0.72358555,0.8170986,0.8917293,0.8840909,0.8628693,0.86316305,0.88589686,0.86386824,0.8402834,0.880514,0.74683255,0.9003753,0.93988866,0.96753246,0.94362473,0.9226113,0.9149492,0.88787186,0.76461834,1.0,0.82265306,0.84890044,0.96753246,0.9154878,1.0,0.96753246,0.96753246,0.9330641,0.8751975,0.88013566,1.0,0.97655123,0.0,0.8985313,0.93075967,0.86072296
Bangor(Maine),0.0,0.8129452,0.9590909,0.8550692,0.79471844,0.86949164,0.0,0.8057942,0.92712116,0.83457714,0.9590909,1.0,0.8826086,0.9590909,0.83920455,0.9279516,0.0,0.0,0.80496573,0.85714287,0.88055587,0.0,0.79125,0.8274589,0.80808777,0.9316883,0.865846,0.9590909,0.6897333,0.8061695,0.8867384,0.85225415,0.83431345,0.8559716,0.9590909,0.8561508,0.9590909,0.9316883,0.9279516,0.9220733,0.8564344,0.9590909,0.9184325,0.9316883,0.7005659,0.8099696,0.8274816,0.82039356,0.8333333,0.8556321,0.87816757,0.85633117,0.7797423,0.8253251,0.70787984,0.84394145,0.9316883,0.9590909,0.8844802,0.9145617,0.9069664,0.88012534,0.7579472,0.9279516,0.8154755,0.8414939,0.9590909,0.9075003,0.9279516,0.9590909,0.9590909,0.9249233,0.8675616,0.8724566,0.9279516,0.91534287,0.0,0.8906918,0.9394841,0.83457714
Winooski(Vermont),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hartford(Connecticut),0.0,0.7814618,0.8393008,0.85280085,0.6954584,0.77547956,0.0,0.7868479,0.8113241,0.9202899,0.8393008,0.80496573,0.7725289,0.8393008,0.73438823,0.8366593,0.80496573,0.0,0.0,0.7412667,0.7705748,0.0,0.6970988,0.9707819,0.74668974,0.8375,0.8130568,0.8393008,0.6490057,0.8370449,0.88438606,0.9201704,0.81566536,0.8017363,0.8393008,0.7363655,0.8393008,0.8375,0.8366593,0.8069067,0.78515476,0.8393008,0.8037206,0.8375,0.6436936,0.83705604,0.8032573,0.89772725,0.91800064,0.7691326,0.7684848,0.7636029,0.7569155,0.7933622,0.664374,0.8009638,0.8375,0.8393008,0.8394381,0.80033326,0.7936866,0.7797337,0.6634153,0.8366593,0.76674205,0.7637529,0.8393008,0.8087702,0.8366593,0.8393008,0.8393008,0.80940074,0.7798561,0.7990318,0.8366593,0.856749,0.0,0.816561,0.8074017,0.9202899
Cumberland(Maryland),0.0,0.81163174,0.8798759,0.7970905,0.7290796,0.797677,0.0,0.7392405,0.85054666,0.80547094,0.8798759,0.85714287,0.80971056,0.8798759,0.7698914,0.85130847,0.85714287,0.0,0.7412667,0.0,0.8078274,0.0,0.7258976,0.75911593,0.7413447,0.85473657,0.79433244,0.8798759,0.6704821,0.73958486,0.8266123,0.79446626,0.7654043,0.7852736,0.8798759,0.7574433,0.8798759,0.85473657,0.85130847,0.84591573,0.7856982,0.8798759,0.8425756,0.85473657,0.6771367,0.8606052,0.77589375,0.75263405,0.80747956,0.7849622,0.80563635,0.78560346,0.73113066,0.8239916,0.6988915,0.84257793,0.85473657,0.8798759,0.8830511,0.83902454,0.91708076,0.8074324,0.6953454,0.85130847,0.7481223,0.7719917,0.8798759,0.8325464,0.85130847,0.8798759,0.8798759,0.84853035,0.79590636,0.8003971,0.85130847,0.8532772,0.0,0.81712615,0.84643465,0.80547094
